URL	Email	Billing	SSN	Ads	Location	Children	Law	Change	Choice	Aggregation
https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp	2	2	3	2	3	3	1	2	2	2
https://www.fedex.com/en-us/trust-center/privacy.html	2	3	3	2	3	3	2	2	2	2
https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/01+online+privacy+policy	2	3	3	2	3	3	1	2	1	2
https://www.dynegy.com/privacy-policy	2	3	3	2	3	3	1	2	1	2
https://cevado.com/legal/client_website_privacy_policy.html	2	3	3	2	3	3	1	2	1	2
https://www.painreform.com/privacy.php	2	2	3	2	3	3	2	2	1	2
http://www.mobile-stream.com/privacy.html	2	2	3	2	3	3	1	2	1	2
https://pioneers.org/privacy-policy/	2	2	3	2	2	3	2	2	2	2
https://www.appian.com/privacy/	2	3	3	2	3	3	2	2	2	2
https://www.ea.com/legal/privacy-policy	2	3	3	2	3	3	1	2	1	2
http://program2anything.com/mobileappsourprivacypolicy.html	2	3	3	2	3	3	1	2	1	2
http://corporate.thestreet.com/privacy	2	2	2	2	2	3	2	2	2	2
https://store.leestools.com/privacy.html	2	2	3	2	2	1	1	1	2	2
http://webchemy.org/about/	2	3	3	2	2	3	1	2	1	2
https://www.montgomerys.com/2019-home-design-trends/	2	2	3	2	3	3	1	2	1	2
https://www.xpgameplus.com/privacypolicy.html	2	1	3	2	3	3	1	1	2	2
http://amazingragas.amazeus.org/	1	1	1	1	1	1	1	1	1	1
http://pjmasks.com/grown-ups/privacy-policy	2	3	3	2	3	3	2	2	2	2
http://candygrill.com/en/privacy	2	3	3	2	3	3	2	2	1	2
http://www.starfont.net/privacy.html	2	2	3	2	3	2	2	2	1	2
https://alexipanos.com/privacy-policy/	2	2	2	2	3	3	1	2	1	1
https://www.mypanhandle.com/privacy-policy/	2	3	3	2	3	3	1	2	2	2
http://www.candidcoderz.com/privacy.html	2	2	3	2	3	3	1	2	1	2
http://apexpoint.com/docs/legal/pp_en.html	2	3	3	2	2	3	2	2	1	2
https://www.joyluxinc.com/privacy-policy/	2	2	3	2	3	3	1	2	1	2
https://www.upwork.com/legal#privacy	2	2	3	2	3	3	1	2	2	2
https://apkpure.com/privacy-policy.html	2	2	3	2	3	3	1	2	1	2
https://www.mybpfcu.org/asp/legal.asp	2	2	3	2	3	3	1	1	1	2
https://www.yogaanytime.com/About-Yoga/64/Terms-of-Use	2	3	3	2	3	3	1	2	1	1
https://www.paragon-software.com/privacy/	2	3	3	2	3	3	2	2	2	2
https://www.devexpert.net/apps/PrivacyPolicy.htm	2	3	3	2	2	3	1	2	1	2
http://gram.gs/privacy-policy/	2	2	3	2	3	3	2	2	1	2
https://www.gameassetstudio.com/	2	2	3	2	2	3	1	2	1	2
https://noonlight.com/privacy	2	2	3	2	3	3	2	2	1	2
https://www.dictionary.com/e/terms/	2	3	3	2	3	2	1	2	1	2
https://www.opentable.com/legal/privacy-policy	2	2	3	2	2	3	2	2	2	2
http://lammar.co.uk/android/BrilliantQuotes.htm	2	2	3	2	3	3	1	2	2	2
https://www.luxand.com/privacy.php	2	2	3	2	3	3	2	2	2	2
http://www.mahindrablues.com/privacy_policy.html	1	3	2	2	2	3	1	1	1	2
http://map.whereareyougps.com/_pages/tos/TOS.html	2	2	1	2	3	3	1	2	1	2
https://tripadvisor.mediaroom.com/us-privacy-policy	2	2	3	2	3	3	2	2	2	2
https://twitter.com/en/privacy	2	2	3	2	2	3	2	2	1	2
https://www.switchportmapper.com/eula.htm	2	3	3	2	3	1	1	2	1	2
https://www.easyorderapp.com/en/web/privacy-policy	2	2	3	2	3	3	2	2	1	2
https://www.jdpower.com/privacy	2	2	3	2	2	3	2	2	2	2
https://support.office.com/en-us/article/change-or-update-your-email-password-58b62e89-6a9b-467b-8865-d5633fcacc3f	2	3	3	2	2	3	2	2	1	2
https://www.qualio.com/docs/privacy	2	3	3	2	3	3	2	2	1	2
https://www.forbes.com/privacy/english/#6c8fe29f3061	2	3	3	2	3	3	2	2	2	2
http://visacsoft.com/web/privacy.html	2	3	1	2	2	3	2	2	1	2
http://www.webpairs.com/policy.html	2	3	3	2	3	3	2	2	1	2
https://www.imdb.com/privacy?ref_=ft_pvc	2	3	3	2	2	1	1	1	1	2
http://www.a1technology.com/privacy.htm	2	3	3	2	3	2	2	2	1	2
http://www.americantesol.com/privacy.htm	2	3	3	2	3	3	1	2	2	2
https://www.freeprivacypolicy.com/privacy-policy.html	2	2	3	2	3	3	1	2	2	2
http://www.arcsoft.com/corporate/privacy_policy.html	2	2	3	2	3	3	1	2	1	2
https://www.indoorfinders.com/	2	3	3	2	3	3	1	2	1	2
https://alliance1.org/web/privacy-policy.aspx	2	3	3	2	3	3	1	2	2	2
https://conquerearth.com/privacy-policy.html	2	2	3	2	2	3	2	2	1	2
https://www.yatra.com/online/privacy-policy.html	2	2	3	2	3	3	2	2	2	2
https://www.techopedia.com/2/31979/trends/5-things-you-didnt-know-about-group-policy-and-active-directory	2	2	3	2	2	3	1	2	1	2
https://schumanities.org/about/privacy/	2	3	3	2	3	3	2	2	1	2
http://www.fatattitude.com/privacy.aspx	2	3	3	2	3	3	1	2	1	2
http://www.flightanalyzer.com/privacy_policy.php	2	2	3	2	3	3	1	2	1	2
http://www.flipbuilder.com/privacy.html	2	3	3	2	3	3	2	2	1	2
https://bookkeeper360.com/privacy-policy/	2	2	3	2	2	3	2	2	1	2
https://www.theguardian.com/help/privacy-policy	2	2	3	2	3	3	2	2	1	2
https://inthemoment.io/privacy	2	2	3	2	3	3	2	2	1	2
https://www.groganspoint.org/privacy	2	2	3	2	3	3	2	2	2	2
http://www.ftdcompanies.com/privacy	2	2	3	2	2	3	2	2	1	2
https://ecpu.com/privacy-policy/	2	2	3	2	2	3	1	2	2	2
https://www.dms.myflorida.com/support/privacy_statement	2	3	3	2	3	3	2	2	1	2
http://www.national-academies.org/legal/	2	3	3	2	3	3	1	2	1	2
https://www.juvare.com/privacy-policy/	2	3	3	2	3	3	1	2	1	2
https://www.termsfeed.com/blog/privacy-policy-no-personal-data-collected/	2	2	3	2	3	3	2	2	1	2
https://www.sanofi.us/en/legal-notice#p3	2	3	3	2	3	3	1	2	1	2
http://www.renderedideas.com/privacy-policy/	2	2	3	2	2	3	1	2	1	2
http://www.sharp-world.com/policy-e.html	2	3	3	2	3	3	2	2	1	2
https://www.southwest66.com/privacy.html	2	2	2	2	3	3	2	2	1	2
https://www.sc.com/gg/website-privacy-statement.html	2	3	3	2	3	3	2	2	1	2
https://www.usbank.com/about-us-bank/privacy.html	2	2	3	2	2	3	1	2	1	2
https://www.format.com/privacy_policy	2	2	3	2	3	3	2	2	2	2
https://www.techsmith.com/privacy.html	2	3	3	2	3	3	1	2	1	2
https://www.trionworlds.com/en/legal/privacy-policy/	2	3	3	2	3	3	2	2	2	2
https://www.turkishexporter.net/Content/Policies/privacyPolicyEN.htm	2	3	3	2	3	3	1	2	1	2
https://summitmediacorp.com/section/privacy-policy	2	2	3	2	3	3	1	1	1	2
http://www.ukrainecalling.com/privacypolicy.html	1	2	2	2	2	3	1	1	1	2
https://www.tourismvancouver.com/privacy-policy/	2	2	3	2	3	3	2	2	2	2
http://www.vectir.com/mobile/privacy/	2	3	3	2	2	3	2	2	1	2
https://www.nintendo.com/privacy-policy/	2	2	3	2	3	3	2	2	2	2
https://www.carlsbadfoodtours.com/privacy-policy/	1	2	2	2	2	3	1	1	1	2
https://www.webmd.com/about-webmd-policies/about-privacy-policy	2	2	3	2	3	3	2	2	2	2
https://www.aweber.com/privacy.htm	2	2	3	2	2	3	2	2	2	2
http://www.yillio.com/privacy	2	3	3	2	3	3	2	2	1	2
https://boomtownroi.com/privacy/	2	3	3	2	3	3	2	2	2	2
https://www.points.com/privacy-policy/	2	2	3	2	3	3	1	2	2	2
https://acbj.com/privacy	2	2	3	2	3	3	2	2	2	2
https://www.mdpi.com/2227-7080/7/1/25/htm	2	2	3	2	2	2	1	1	1	2
https://www.termsfeed.com/blog/login-amazon-privacy-policy/	2	3	3	2	2	3	2	2	1	2
https://www.pbworks.com/privacy-policy.html	2	3	3	2	3	3	1	2	1	2
https://www.soundlogin.com/privacy.html	2	2	3	2	2	3	1	2	1	2
